tiempo [s],Voltaje [V],corriente [A]
0,4.2,0
0.0602678571428571,4.03950597272829,4.60953178286191
0.180803571428571,3.99667267560754,7
0.421875,3.99446730664196,7
0.904017857142857,3.99041595449618,7
1.86830357142857,3.98342767554367,7
3.796875,3.97227147085181,7
7.65401785714286,3.95591050012492,7
15.3683035714286,3.93435625413382,7
30.796875,3.91093384337046,7
46.2254464285714,3.89890691315945,7
61.6540178571428,3.89206232970144,7
77.0825892857143,3.8870979752051,7
92.5111607142857,3.88260868048464,7
107.939732142857,3.8779622982314,7
123.368303571429,3.87282271701873,7
138.796875,3.86704804686353,7
154.225446428571,3.86065008073426,7
169.654017857143,3.85373550228891,7
185.082589285714,3.84644901461344,7
200.511160714286,3.83893656459308,7
215.939732142857,3.83132724186394,7
231.368303571428,3.82372668653473,7
246.796875,3.81621645620154,7
262.225446428571,3.80885612619973,7
277.654017857143,3.80168640082274,7
293.082589285714,3.79473234296209,7
308.511160714286,3.78800627026676,7
323.939732142857,3.78151009530428,7
339.368303571429,3.77523700639088,7
354.796875,3.76917246573663,7
370.225446428571,3.76329461816021,7
385.654017857143,3.75757445338476,7
401.082589285714,3.75197650733903,7
416.511160714286,3.74646130620526,7
431.939732142857,3.74099034415322,7
447.368303571429,3.73553228879148,7
462.796875,3.73006661940904,7
478.225446428572,3.72458183068171,7
493.654017857143,3.71907024087636,7
509.082589285714,3.71352443766196,7
524.511160714286,3.70793748291918,7
539.939732142857,3.70230433628432,7
555.368303571429,3.69662153583918,7
570.796875,3.69088562226793,7
586.225446428572,3.68509258590257,7
601.654017857143,3.67923860703947,7
617.082589285715,3.67332043703553,7
632.511160714286,3.66733487568542,7
647.939732142857,3.66127848504489,7
663.368303571429,3.65514807166268,7
678.796875,3.64894114437318,7
694.225446428572,3.64265594028168,7
709.654017857143,3.63629158941553,7
725.082589285715,3.62984865367796,7
740.511160714286,3.62332955059718,7
755.939732142858,3.616738681319,7
771.368303571429,3.61008259492638,7
786.796875,3.60337022216449,7
802.225446428572,3.59661286490677,7
817.654017857143,3.58982392532786,7
