Time / s,Voltage / V,Current / A
0,4.2,0
0.052734375,4.04485472840616,4.34318924937776
0.158203125,3.98145397596564,8
0.369140625,3.97922184818762,8
0.791015625,3.97508843376288,8
1.634765625,3.96788357644952,8
3.322265625,3.9562672787636,8
6.697265625,3.93913707516877,8
13.447265625,3.91659359991641,8
26.947265625,3.89231510109884,8
40.447265625,3.87979981429831,8
53.947265625,3.8721206926945,8
67.447265625,3.86594473992655,8
80.947265625,3.86000879894768,8
94.447265625,3.85376260574725,8
107.947265625,3.84695337888186,8
121.447265625,3.83953995211699,8
134.947265625,3.83162301984849,8
148.447265625,3.82336604703493,8
161.947265625,3.81493866513184,8
175.447265625,3.80648854413451,8
188.947265625,3.79813198735955,8
202.447265625,3.78995388194781,8
215.947265625,3.78201148834093,8
229.447265625,3.7743392965197,8
242.947265625,3.76695365350744,8
256.447265625,3.75985659391428,8
269.947265625,3.75303864825351,8
283.447265625,3.74648057806448,8
296.947265625,3.7401541562903,8
310.447265625,3.7340224525361,8
323.947265625,3.72804072991187,8
337.447265625,3.72215973070119,8
350.947265625,3.71633254375137,8
364.447265625,3.71052298443006,8
377.947265625,3.70470969853789,8
391.447265625,3.69888220367769,8
404.947265625,3.6930328067347,8
418.447265625,3.68715205966403,8
431.947265625,3.68123033829334,8
445.447265625,3.67526115178863,8
458.947265625,3.66924117239482,8
472.447265625,3.66316746305328,8
485.947265625,3.65703600082703,8
499.447265625,3.65084290406517,8
512.947265625,3.64458574798994,8
526.447265625,3.6382629567238,8
539.947265625,3.63187267916406,8
553.447265625,3.6254130908892,8
566.947265625,3.61888351423361,8
580.447265625,3.61228474441751,8
593.947265625,3.60561873651949,8
607.447265625,3.59888887845589,8
620.947265625,3.59210084660193,8
634.447265625,3.58526300798856,8
647.947265625,3.57838615100114,8
661.447265625,3.57148328718624,8
674.947265625,3.56456978842299,8
688.447265625,3.55766327183203,8
701.947265625,3.55078285800941,8
715.447265625,3.54394819047149,8
728.947265625,3.5371786845801,8
742.447265625,3.53049295216551,8
755.947265625,3.52390815935032,8
769.447265625,3.51743941148436,8
782.947265625,3.51109949579212,8
796.447265625,3.50489913414545,8
809.947265625,3.49884760880823,8
823.447265625,3.49295345717836,8
836.947265625,3.48722481360534,8
850.447265625,3.48166896595864,8
863.947265625,3.47629102365211,8
877.447265625,3.47109217281987,8
890.947265625,3.46606833339843,8
904.447265625,3.46120981608723,8
917.947265625,3.4565020346578,8
931.447265625,3.45192690796015,8
944.947265625,3.4474644825659,8
958.447265625,3.44309442328596,8
971.947265625,3.43879718631138,8
985.447265625,3.43455481686682,8
998.947265625,3.43035138822656,8
1012.447265625,3.42617314060379,8
1025.947265625,3.42200840196267,8
1039.447265625,3.41784738143932,8
1052.947265625,3.4136819176892,8
1066.447265625,3.40950524039856,8
1079.947265625,3.40531177144961,8
1093.447265625,3.40109696453153,8
1106.947265625,3.39685716761359,8
1120.447265625,3.39258949367976,8
1133.947265625,3.38829169572877,8
1147.447265625,3.38396205267666,8
1160.947265625,3.37959927599569,8
1174.447265625,3.37520244158996,8
1187.947265625,3.37077094263476,8
1201.447265625,3.36630445382451,8
1214.947265625,3.3618028991582,8
1228.447265625,3.35726642171659,8
1241.947265625,3.35269535903899,8
1255.447265625,3.34809022743527,8
1268.947265625,3.34345171372034,8
1282.447265625,3.33878066835036,8
1295.947265625,3.33407809404696,8
1309.447265625,3.32934512826126,8
1322.947265625,3.32458302157515,8
