temps (s),tension (V),courant (A)
1259.9296875,3.52906770851743,6
1277.9296875,3.52419856156211,6
1295.9296875,3.51947823782507,6
1313.9296875,3.51489156186159,6
1331.9296875,3.51042328389959,6
1349.9296875,3.50605833347993,6
1367.9296875,3.50178204432327,6
1385.9296875,3.49758035899717,6
1403.9296875,3.49344001052324,6
1421.9296875,3.48934867114791,6
1439.9296875,3.48529505671394,6
1457.9296875,3.48126897853183,6
1475.9296875,3.47726134204018,6
1493.9296875,3.47326409998833,6
1511.9296875,3.46927017398641,6
1529.9296875,3.46527335980295,6
1547.9296875,3.46126822883751,6
1565.9296875,3.45725003298046,6
1583.9296875,3.45321461546659,6
1601.9296875,3.44915832808464,6
1619.9296875,3.44507795503138,6
1637.9296875,3.44097064429264,6
1655.9296875,3.436833847317,6
1673.9296875,3.43266526672142,6
1691.9296875,3.42846281068107,6
1709.9296875,3.42422455237414,6
1727.9296875,3.41994869338415,6
1745.9296875,3.41563353055505,6
1763.9296875,3.41127742579968,6
1781.9296875,3.40687877789081,6
1799.9296875,3.40243599493291,6
1817.9296875,3.3979474663564,6
1835.9296875,3.39341153358336,6
1853.9296875,3.38882645852364,6
1871.9296875,3.38419038883003,6
1889.9296875,3.37950131890261,6
1907.9296875,3.3747570463406,6
1925.9296875,3.36995512480317,6
1943.9296875,3.36509281607845,6
1961.9296875,3.36016704723148,6
1979.9296875,3.35517438391118,6
1997.9296875,3.35011103854577,6
2015.9296875,3.34497294170645,6
2033.9296875,3.33975591497242,6
2051.9296875,3.33445599064826,6
2069.9296875,3.32906991965066,6
2087.9296875,3.32359588081224,6
2105.9296875,3.31803433952178,6
2123.9296875,3.31238889939853,6
2141.9296875,3.30666687436047,6
2159.9296875,3.30087924419726,6
2177.9296875,3.29503972416966,6
2195.9296875,3.28916291292264,6
2213.9296875,3.28326181640272,6
2231.9296875,3.27734532377627,6
2249.9296875,3.27141628315714,6
2267.9296875,3.26547063702437,6
2285.9296875,3.25949770445989,6
2303.9296875,3.25348130967702,6
2321.9296875,3.24740123811505,6
2339.9296875,3.24123453285635,6
2357.9296875,3.23495633772225,6
2375.9296875,3.22854019055459,6
2393.9296875,3.22195778403327,6
2411.9296875,3.21517823368969,6
2429.9296875,3.20816683990614,6
2447.9296875,3.2008832232547,6
2465.9296875,3.1932785464365,6
2483.9296875,3.18529128135206,6
2501.9296875,3.17684060604707,6
2519.9296875,3.16781608301592,6
2537.9296875,3.15806228239126,6
2555.9296875,3.14735942168198,6
