tiempo [s],Voltaje [V],corriente [A]
1655.953125,3.02527713873581,9
1667.953125,3.01520437343125,9
1679.953125,3.00459376681352,9
1691.953125,2.99323022594648,9
1703.953125,2.98078902744757,9
1715.953125,2.96685636219876,9
1727.953125,2.95107425452042,9
1739.953125,2.93338338725288,9
1751.953125,2.91412685680643,9
1763.953125,2.89387685754828,9
1775.953125,2.87316404307887,9
1787.953125,2.85230555294298,9
1799.953125,2.83136115854038,9
1811.953125,2.81016539365932,9
1823.953125,2.78837923670216,9
1835.953125,2.76552381041299,9
1847.953125,2.74098319806197,9
1859.953125,2.71398496851331,9
1871.953125,2.68357703440064,9
1883.953125,2.64861270398922,9
1895.953125,2.60773766229151,9
1907.953125,2.55936152835099,9
1919.953125,2.50160295256898,9
1931.953125,2.43220915127278,9
1943.953125,2.34845416237931,9
1955.953125,2.24701516239129,9
1967.953125,2.12381902873732,9
1979.953125,2,8.68816407450961
1991.953125,2,6.88567289652405
2003.953125,2,5.88411147811175
2015.953125,2,5.14901203913998
2027.953125,2,4.55833178693366
2039.953125,2,4.06437017785129
2051.953125,2,3.64212396054458
2063.953125,2,3.27612280465122
2075.953125,2,2.95578479135139
2087.953125,2,2.67336797878804
2099.953125,2,2.42294159225708
2111.953125,2,2.19983041203856
2123.953125,2,2.00028915865979
2135.953125,2,1.82127955405589
2147.953125,2,1.6603000732944
2159.953125,2,1.51525586036763
2171.953125,2,1.38436325882706
2183.953125,2,1.26608195299435
2195.953125,2,1.1590671886119
2207.953125,2,1.06213570301043
2219.953125,2,0.974240722871977
2231.953125,2,0.894452927154431
2243.953125,2,0.821945394238855
2255.953125,2,0.755981290214442
2267.953125,2,0.695903515905027
2279.953125,2,0.641125811675941
2291.953125,2,0.591124990914598
2303.953125,2,0.545434079610862
2315.953125,2,0.503636207159737
2327.953125,2,0.465359137722189
2339.953125,2,0.430270361000048
2351.953125,2,0.398072681185816
2363.953125,2,0.368500256181431
2375.953125,2,0.341315047893022
2387.953125,2,0.316303649870016
2399.953125,2,0.2932744617972
2411.953125,2,0.272055180306944
2423.953125,2,0.252490590897127
