Time / s,Voltage / V,Current / A
0,4.2,0
0.0421875,4.05660791737452,3.78509910048368
0.1265625,3.95348647838344,10
0.2953125,3.95121090301111,10
0.6328125,3.94694824550561,10
1.3078125,3.9393971498301,10
2.6578125,3.92702122917663,10
5.3578125,3.9085929213474,10
10.7578125,3.88440199238731,10
21.5578125,3.85870578740664,10
32.3578125,3.8449580816127,10
43.1578125,3.83502718468543,10
53.9578125,3.82580434324865,10
64.7578125,3.81633203477742,10
75.5578125,3.80629200179607,10
86.3578125,3.79569483333354,10
97.1578125,3.78474411431976,10
107.9578125,3.77370310394699,10
118.7578125,3.76280757721944,10
129.5578125,3.75223205955695,10
140.3578125,3.74208760364839,10
151.1578125,3.73243215955377,10
161.9578125,3.72328351783526,10
172.7578125,3.71463058800372,10
183.5578125,3.70644159312838,10
194.3578125,3.69866901260454,10
205.1578125,3.69125184264703,10
215.9578125,3.68411679419782,10
226.7578125,3.67718176134441,10
237.5578125,3.67036562686993,10
248.3578125,3.6636038256972,10
259.1578125,3.65685935018656,10
269.9578125,3.65011792513445,10
280.7578125,3.64337144081602,10
291.5578125,3.63660558712329,10
302.3578125,3.62980091530674,10
313.1578125,3.62294223864162,10
323.9578125,3.61602426511855,10
334.7578125,3.60904775052034,10
345.5578125,3.6020124697575,10
356.3578125,3.59491568269945,10
367.1578125,3.58775625012537,10
377.9578125,3.58053763009259,10
388.7578125,3.57326592480728,10
399.5578125,3.56594651988732,10
410.3578125,3.55858404681194,10
421.1578125,3.55118507571249,10
431.9578125,3.54375954079224,10
442.7578125,3.53631947014474,10
453.5578125,3.52887745808615,10
464.3578125,3.52144709513771,10
475.1578125,3.51404450652988,10
485.9578125,3.5066887454565,10
496.7578125,3.49940037906356,10
507.5578125,3.49219964776509,10
518.3578125,3.48510562706569,10
529.1578125,3.4781363592947,10
539.9578125,3.47130889386586,10
550.7578125,3.46463848939123,10
561.5578125,3.45813725909246,10
572.3578125,3.45181311680511,10
583.1578125,3.44566955059059,10
593.9578125,3.43970604929819,10
604.7578125,3.43391866133574,10
615.5578125,3.4283003696295,10
626.3578125,3.42284137062102,10
637.1578125,3.41752951284337,10
647.9578125,3.41235100467935,10
658.7578125,3.40729129940203,10
669.5578125,3.4023360098747,10
680.3578125,3.39747172933444,10
691.1578125,3.39268660650803,10
701.9578125,3.38797049015239,10
712.7578125,3.38331456574694,10
723.557812499999,3.37871064719169,10
734.357812499999,3.37415045956515,10
745.157812499999,3.36962519862718,10
755.957812499999,3.36512544667364,10
766.757812499999,3.36064135205523,10
777.557812499999,3.35616293923185,10
788.357812499999,3.35168046244706,10
799.157812499999,3.34718476243908,10
809.957812499999,3.34266759391756,10
820.757812499999,3.33812187864918,10
831.557812499999,3.33354183824267,10
842.357812499999,3.32892298811981,10
853.157812499999,3.32426201864585,10
863.957812499999,3.31955662455705,10
874.757812499999,3.31480534846797,10
885.557812499999,3.31000747696271,10
896.357812499999,3.30516298683709,10
907.157812499999,3.30027250957775,10
917.957812499999,3.2953372799182,10
928.757812499999,3.29035905635093,10
939.557812499999,3.28534002917859,10
950.357812499999,3.28028274427493,10
961.157812499998,3.27519005988271,10
971.957812499998,3.27006512900226,10
982.757812499998,3.26491138082153,10
993.557812499998,3.25973247590122,10
1004.3578125,3.25453223001116,10
1015.1578125,3.24931452420103,10
1025.9578125,3.24408322544599,10
1036.7578125,3.23884212726884,10
1047.5578125,3.23359489477869,10
1058.3578125,3.22834498382176,10
1069.1578125,3.22309551250224,10
1079.9578125,3.21784909061979,10
1090.7578125,3.21260763930643,10
1101.5578125,3.20737223970016,10
1112.3578125,3.20214303045018,10
1123.1578125,3.19691914185751,10
1133.9578125,3.19169863125927,10
1144.7578125,3.18647838585958,10
1155.5578125,3.18125398511854,10
1166.3578125,3.17601954853995,10
1177.1578125,3.17076761515916,10
1187.9578125,3.16548909685539,10
1198.7578125,3.16017332384831,10
1209.5578125,3.15480817356787,10
1220.3578125,3.14938025858075,10
1231.1578125,3.14387515016339,10
1241.9578125,3.13827762655311,10
1252.7578125,3.13257195279244,10
1263.5578125,3.12674222043295,10
1274.3578125,3.12077279541608,10
1285.1578125,3.1146489203994,10
1295.9578125,3.10835745901013,10
1306.7578125,3.10188764018686,10
1317.5578125,3.09523151820723,10
1328.3578125,3.08838384294013,10
1339.1578125,3.08134124823145,10
1349.9578125,3.07410103572438,10
1360.7578125,3.06666005729772,10
1371.5578125,3.05901407184454,10
1382.3578125,3.05115769456646,10
1393.1578125,3.04308497353402,10
1403.9578125,3.03479044392258,10
1414.7578125,3.02627005845816,10
1425.5578125,3.01752153843393,10
1436.3578125,3.00854428171219,10
1447.1578125,2.99933807888666,10
1457.9578125,2.98989903315396,10
1468.7578125,2.98021359689357,10
1479.5578125,2.97025249728202,10
1490.3578125,2.95996110781479,10
1501.1578125,2.94924174493781,10
1511.9578125,2.93792895521695,10
1522.7578125,2.92576127405228,10
1533.5578125,2.91236987783482,10
1544.3578125,2.89735089129897,10
1555.1578125,2.88047600494271,10
1565.9578125,2.86190004043064,10
1576.7578125,2.84211186959904,10
1587.5578125,2.82166641025436,10
1598.3578125,2.80094878111515,10
1609.1578125,2.78008516925438,10
1619.9578125,2.75896298394965,10
1630.7578125,2.73728962178269,10
1641.5578125,2.71463837591371,10
1652.3578125,2.6904591673157,10
1663.1578125,2.66405799169663,10
1673.9578125,2.63456527805567,10
1684.7578125,2.6009132039101,10
1695.5578125,2.56182419664197,10
1706.3578125,2.5157930329902,10
1717.1578125,2.46104396101734,10
1727.9578125,2.39545876370754,10
1738.7578125,2.31648125139799,10
1749.5578125,2.22100097575935,10
1760.3578125,2.10521098952012,10
1771.1578125,2,9.56581270870755
1781.9578125,2,7.86710634968829
1792.75781249999,2,6.8511694860342
1803.55781249999,2,6.07242100443377
1814.35781249999,2,5.43132516268441
1825.15781249999,2,4.88659994968377
1835.95781249999,2,4.41521532283199
1846.75781249999,2,4.00240812584632
1857.55781249999,2,3.63783105467573
1868.35781249999,2,3.31380046299955
1879.15781249999,2,3.02437327781589
1889.95781249999,2,2.76479998450113
1900.75781249999,2,2.53118963626537
1911.55781249999,2,2.32030308726828
1922.35781249999,2,2.12942375830156
1933.15781249999,2,1.95626490924952
1943.95781249999,2,1.79889064563091
1954.75781249999,2,1.65564657119643
1965.55781249999,2,1.52510231557382
1976.35781249999,2,1.4060068276366
1987.15781249999,2,1.29725500045543
1997.95781249999,2,1.1978631267746
2008.75781249999,2,1.1069507102492
2019.55781249999,2,1.02372666088672
2030.35781249999,2,0.94747847143192
2041.15781249999,2,0.877563435857374
2051.95781249999,2,0.813401300821262
2062.75781249999,2,0.754467958315525
2073.55781249999,2,0.700289925566878
2084.35781249999,2,0.650439444267753
2095.15781249999,2,0.604530084942153
2105.95781249999,2,0.562212776300987
2116.75781249999,2,0.52317220155131
2127.5578125,2,0.4871235183914
2138.3578125,2,0.453809369539895
2149.1578125,2,0.42299715768333
2159.9578125,2,0.394476563619481
2170.7578125,2,0.368057289718676
2181.5578125,2,0.343567013030503
